date,ahr999,nupl,mvrv_zscore,puell_multiple,hash_ribbons,fear_greed,funding_neg_streak,stablecoin_growth_90d,vc_funding_monthly,vix,spy_ma200_dev,btc_price
2026-02-15,0.33,,0.52,0.8,-1,8,1,1.3,1338.0,20.6,5.5,69016.97
2026-02-16,0.34,,0.48,0.95,-1,12,,1.5,1256.0,20.6,5.5,69774.9
2026-02-17,0.32,,0.49,0.83,-1,10,,1.6,1223.0,20.6,5.5,67888.08
2026-02-18,0.32,,0.44,0.78,-1,8,,1.5,879.0,20.3,5.6,67532.2
2026-02-19,0.31,,0.41,0.71,-1,9,,1.6,902.0,nan,6.0,66361.67
2026-02-20,0.31,,,,,7,,1.7,906.0,20.2,5.6,67158.2
2026-02-21,0.32,,,,,8,,1.5,910.0,19.1,6.3,68153.33
2026-02-22,0.32,,,,,9,,1.5,903.0,19.1,6.3,67932.4
2026-02-23,0.31,,,,,5,,1.5,901.0,19.1,6.3,66323.54
2026-02-24,0.28,0.194,0.46,0.68,-1,8,0,1.2,,21.0,5.1,62963.21
2026-03-03,0.32,0.168,0.4,0.64,0,14,0,0.9,1028.0,21.4,5.2,67227.15
2026-03-04,0.36,0.218,0.5,0.64,0,10,0,0.8,1002.0,23.6,4.2,71343.96
2026-03-05,0.38,0.204,0.49,0.65,0,22,0,1.0,1025.0,21.1,4.9,72724.07
2026-03-06,0.35,0.253,0.62,0.84,0,18,0,1.2,1026.0,23.8,4.2,69973.57
2026-03-07,0.33,0.238,0.57,0.71,0,12,3,1.3,1028.0,29.5,2.8,68005.77
2026-03-08,0.32,0.199,0.48,0.63,0,12,6,1.2,1010.0,29.5,2.8,67342.64
2026-03-09,0.33,0.192,0.45,0.63,0,8,1,1.1,1005.0,29.5,2.8,68246.41
2026-03-10,0.36,0.181,0.41,0.66,0,13,0,1.5,1034.0,25.5,3.6,70667.82
2026-03-11,0.35,0.209,0.49,0.68,0,15,0,1.6,1022.0,24.9,3.4,69449.47
2026-03-12,0.36,0.223,0.54,0.68,0,18,0,1.3,1027.0,24.2,3.2,70470.15
2026-03-13,0.38,0.231,0.55,0.64,0,15,0,1.5,1051.0,27.3,1.5,72781.43
2026-03-14,0.36,0.227,0.56,0.61,0,16,0,1.7,1054.0,27.2,0.9,70730.38
2026-03-15,0.37,0.234,0.58,0.64,0,15,2,1.8,1034.0,27.2,0.9,71623.32
2026-03-16,0.39,0.233,0.59,0.63,0,23,5,1.8,982.0,27.2,0.9,73863.95
2026-03-17,0.39,,,,,28,8,2.0,974.0,23.5,1.9,73748.13
2026-03-18,0.38,0.275,0.7,0.67,0,26,0,2.0,944.0,22.4,2.1,72333.12
2026-03-19,0.35,0.27,0.68,0.71,0,23,0,1.9,956.0,nan,0.6,69364.28
2026-03-20,0.36,0.237,0.59,0.67,0,11,3,2.0,956.0,24.1,0.3,70366.63
2026-03-21,0.36,0.229,0.54,0.67,0,12,6,1.6,956.0,26.8,-1.2,70706.34
2026-03-22,0.34,0.234,0.56,0.69,0,10,9,2.0,954.0,26.8,-1.2,68637.27
2026-03-23,0.36,0.23,0.55,0.79,0,8,12,2.2,1308.0,26.8,-1.2,70689.12
2026-03-24,0.36,0.206,0.48,0.79,0,11,15,2.0,1310.0,26.1,-0.2,70755.21
2026-03-25,0.37,0.235,0.58,0.62,0,14,18,2.1,1310.0,27.0,-0.6,71620.94
2026-03-26,0.35,0.231,0.57,0.77,0,10,21,2.1,1337.0,25.3,-0.1,69417.65
2026-03-27,0.32,0.241,0.59,0.81,-1,13,21,2.1,1375.0,27.4,-1.9,66518.28
2026-03-28,0.32,0.215,0.51,0.72,-1,12,2,1.9,1577.0,31.0,-3.6,66415.03
2026-03-29,0.33,0.182,0.51,0.82,-1,9,5,2.0,1577.0,31.0,-3.6,66799.3
2026-03-30,0.34,0.182,0.51,0.68,-1,8,8,2.1,,31.0,-3.6,67931.61
2026-03-31,0.33,0.189,0.41,0.65,-1,11,11,2.3,,30.6,-4.0,66749.12
2026-04-01,0.35,0.191,0.44,0.65,-1,8,14,2.7,,25.2,-1.2,68454.72
2026-04-02,0.32,0.208,0.49,0.79,-1,12,0,2.8,,24.5,-0.5,65911.16
2026-04-03,0.33,0.21,0.49,0.69,-1,9,3,2.7,,23.9,-0.5,66612.65
2026-04-04,0.33,0.193,0.45,0.63,-1,11,6,2.8,,23.9,-0.5,67091.92
2026-04-05,0.33,0.194,0.45,0.57,-1,12,9,2.7,,23.9,-0.5,66796.83
2026-04-06,0.36,0.199,0.46,0.76,-1,13,0,2.5,,23.9,-0.5,69398.35
2026-04-07,0.35,0.201,0.52,0.63,-1,11,0,2.7,,nan,-0.1,68490.63
2026-04-08,0.39,0.223,0.52,0.68,-1,17,0,2.8,,25.8,-0.1,72458.36
2026-04-09,0.37,0.229,0.62,0.75,-1,14,3,3.1,,21.0,2.2,70853.21
2026-04-10,0.39,0.245,0.59,0.73,-1,16,6,2.9,,19.5,2.9,72189.2
2026-04-11,0.4,0.252,0.59,0.73,-1,15,9,3.3,,19.2,2.8,72840.28
2026-04-12,0.38,0.261,0.59,0.73,-1,16,12,3.5,,19.2,2.8,71082.3
2026-04-13,0.38,0.266,0.65,0.79,-1,12,0,4.0,,19.2,2.4,71043.71
2026-04-14,0.43,0.237,0.58,0.76,-1,21,3,3.0,,19.1,4.2,75299.37
2026-04-15,0.41,0.263,0.7,0.87,-1,23,6,3.1,,18.4,5.0,74075.06
2026-04-16,0.42,0.271,0.69,0.66,-1,23,9,2.8,,18.2,5.5,74341.33
2026-04-17,0.45,0.277,0.71,0.81,1,21,0,2.8,,17.9,5.9,76887.65
2026-04-18,0.44,0.279,0.72,0.77,0,26,0,2.9,,17.5,7.1,76184.83
2026-04-19,0.43,0.301,0.79,0.83,0,27,0,3.1,,17.5,7.1,75688.13
2026-04-20,0.43,0.286,0.74,0.85,0,29,2,2.8,,17.5,6.8,75261.7
2026-04-21,0.44,0.272,0.68,0.7,0,33,0,3.5,,18.9,6.9,75908.68
2026-04-22,0.47,0.289,0.75,0.73,0,32,0,3.6,,19.5,6.7,78665.35
2026-04-23,0.46,0.283,0.76,0.73,-1,46,0,3.8,,18.9,6.8,77622.11
2026-04-24,0.47,0.313,0.82,0.67,1,39,1,3.6,,19.3,6.7,78248.43
2026-04-25,0.46,0.308,0.83,0.83,0,31,0,3.5,,18.7,7.3,77614.9
2026-04-26,0.46,0.304,0.8,0.78,0,33,0,3.6,,18.7,7.3,77904.99
2026-04-27,0.46,0.303,0.81,0.83,0,47,0,3.8,,18.7,7.2,77751.19
2026-04-28,0.44,0.303,0.83,0.77,-1,33,3,3.7,,18.0,6.8,75998.39
2026-04-29,0.45,0.303,0.8,0.76,-1,26,6,3.9,,17.8,6.6,76672.81
2026-04-30,0.45,0.303,0.76,0.7,-1,29,9,4.1,,18.8,6.7,76462.91
2026-05-01,0.47,0.303,0.75,0.76,-1,26,12,4.6,,16.9,7.7,78300.31
2026-05-02,0.47,0.303,0.76,0.88,-1,39,15,4.9,,17.0,7.9,78344.16
